54.243187,75.232025,136.58665,74.14154,139.31335,146.25873,54.041077,149.71959,A
137.3557,94.481544,228.02992,92.581985,232.12587,142.49182,139.31335,146.25873,w
227.96219,91.75649,281.97412,90.642494,287.4474,141.09743,232.19702,143.3587,a
281.97412,90.642494,320.5634,89.846596,326.77933,138.6502,287.3555,140.25027,r
320.5634,89.846596,373.3034,88.75883,380.7369,137.2793,326.88544,139.48332,e
380.6122,136.46535,405.38425,135.45995,405.38425,135.45995,380.6122,136.46535, 
397.59067,88.257904,451.07748,87.15474,460.04797,134.03328,405.51718,136.2651,o
451.07748,87.15474,484.65054,86.462296,494.08612,131.85988,459.89758,133.24745,r
494.08612,131.85988,516.5798,130.94695,516.5798,130.94695,494.08612,131.85988, 
506.75116,86.00647,548.2448,85.150665,558.96484,129.98483,516.74725,131.7127,c
53.96174,178.95967,125.469086,175.29002,127.9968,257.34677,53.73246,263.461,h
126.19288,198.78635,187.53911,195.09377,190.98442,253.1426,128.0277,258.34973,a
187.53911,195.09377,253.00175,191.15341,257.99164,246.64423,190.92644,252.16574,n
253.00175,191.15341,311.49637,187.63246,320.13968,261.2961,259.79956,266.74924,g
308.9434,165.8744,334.6616,164.5546,344.37314,239.5324,317.84235,241.71669,i
337.44843,186.07034,395.63916,182.5677,403.8104,234.63889,344.37314,239.5324,n
395.63916,182.5677,447.78027,179.4292,460.34296,248.6255,406.76508,253.4675,g
457.00848,230.25906,481.47217,228.24495,481.47217,228.24495,457.00848,230.25906, 
471.77652,177.9848,547.80286,173.40858,558.9003,221.87024,481.47217,228.24495,m
53.51154,344.88196,122.35346,337.15738,124.20147,404.91367,53.322147,414.68195,a
122.35346,337.15738,191.09998,329.44354,196.15955,417.55493,124.83136,428.00827,g
191.09998,329.44354,260.5428,321.65155,266.05908,384.27747,194.81075,394.06583,n
260.5428,321.65155,322.40454,314.7102,329.55878,376.61218,266.1536,385.3504,e
320.3654,297.06647,360.94263,292.8085,371.38596,370.84772,329.55878,376.61218,t
360.05093,286.14514,386.2988,283.46417,398.33887,366.1044,371.24924,369.82608,i
389.75015,307.15353,441.02426,301.4002,450.89496,359.8901,398.4858,367.11295,c
